parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-12,1,2018-09-12T00:59:59Z,qua,26,-,Sim
MP10,Parque D.Pedro II,2018-09-12,2,2018-09-12T01:59:59Z,qua,17,-,Sim
MP10,Parque D.Pedro II,2018-09-12,3,2018-09-12T02:59:59Z,qua,19,-,Sim
MP10,Parque D.Pedro II,2018-09-12,4,2018-09-12T03:59:59Z,qua,10,-,Sim
MP10,Parque D.Pedro II,2018-09-12,5,2018-09-12T04:59:59Z,qua,12,-,Sim
MP10,Parque D.Pedro II,2018-09-12,6,2018-09-12T05:59:59Z,qua,8,-,Sim
MP10,Parque D.Pedro II,2018-09-12,7,2018-09-12T06:59:59Z,qua,17,-,Sim
MP10,Parque D.Pedro II,2018-09-12,8,2018-09-12T07:59:59Z,qua,10,-,Sim
MP10,Parque D.Pedro II,2018-09-12,9,2018-09-12T08:59:59Z,qua,18,-,Sim
MP10,Parque D.Pedro II,2018-09-12,10,2018-09-12T09:59:59Z,qua,23,-,Sim
MP10,Parque D.Pedro II,2018-09-12,11,2018-09-12T10:59:59Z,qua,23,-,Sim
